OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA,GarageFinish_Unf,SalePrice
7,2003,2003,856,856,1710,2,8,2,548,0.0,0.0,0.0,0.0,0.0,208500
6,1976,1976,1262,1262,1262,2,6,2,460,1.0,0.0,0.0,1.0,0.0,181500
7,2001,2002,920,920,1786,2,6,2,608,0.0,0.0,0.0,0.0,0.0,223500
7,1915,1970,756,961,1717,1,7,3,642,1.0,0.0,0.0,0.0,1.0,140000
8,2000,2000,1145,1145,2198,2,9,3,836,0.0,0.0,0.0,0.0,0.0,250000
5,1993,1995,796,796,1362,1,5,2,480,1.0,0.0,0.0,1.0,1.0,143000
8,2004,2005,1686,1694,1694,2,7,2,636,0.0,1.0,0.0,0.0,0.0,307000
7,1973,1973,1107,1107,2090,2,7,2,484,1.0,0.0,0.0,1.0,0.0,200000
7,1931,1950,952,1022,1774,2,8,2,468,1.0,0.0,0.0,1.0,1.0,129900
5,1939,1950,991,1077,1077,1,5,1,205,1.0,0.0,0.0,1.0,0.0,118000
5,1965,1965,1040,1040,1040,1,5,1,384,1.0,0.0,0.0,1.0,1.0,129500
9,2005,2006,1175,1182,2324,3,11,3,736,0.0,1.0,1.0,0.0,0.0,345000
5,1962,1962,912,912,912,1,4,1,352,1.0,0.0,0.0,1.0,1.0,144000
7,2006,2007,1494,1494,1494,2,7,3,840,0.0,0.0,0.0,0.0,0.0,279500
6,1960,1960,1253,1253,1253,1,5,1,352,1.0,0.0,0.0,1.0,0.0,157000
7,1929,2001,832,854,854,1,5,2,576,1.0,0.0,0.0,1.0,1.0,132000
6,1970,1970,1004,1004,1004,1,5,2,480,1.0,0.0,0.0,1.0,0.0,149000
4,1967,1967,0,1296,1296,2,6,2,516,1.0,0.0,0.0,1.0,1.0,90000
5,2004,2004,1114,1114,1114,1,6,2,576,1.0,0.0,0.0,0.0,1.0,159000
5,1958,1965,1029,1339,1339,1,6,1,294,1.0,0.0,0.0,1.0,1.0,139000
8,2005,2006,1158,1158,2376,3,9,3,853,0.0,1.0,0.0,0.0,0.0,325300
7,1930,1950,637,1108,1108,1,6,1,280,1.0,0.0,0.0,0.0,1.0,139400
8,2002,2002,1777,1795,1795,2,7,2,534,0.0,0.0,0.0,0.0,0.0,230000
5,1976,1976,1040,1060,1060,1,6,2,572,1.0,0.0,0.0,1.0,1.0,129900
5,1968,2001,1060,1060,1060,1,6,1,270,1.0,0.0,0.0,0.0,1.0,154000
8,2007,2007,1566,1600,1600,2,7,3,890,0.0,0.0,0.0,0.0,0.0,256300
5,1951,2000,900,900,900,1,5,2,576,1.0,0.0,0.0,0.0,1.0,134800
8,2007,2008,1704,1704,1704,2,7,3,772,0.0,1.0,0.0,0.0,0.0,306000
5,1957,1997,1484,1600,1600,1,6,1,319,1.0,0.0,0.0,1.0,0.0,207500
